"Date","Time","Text","Retweets","Replies","Potential Impressions","Link"
"2011 Mar 01 12:00:00 AM","7:09 AM","The new Cook County Government homepage makes its debut. Easier to use, Twitter, Facebook and more. http://ping.fm/cbGAL","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42602271674085376"
"2011 Mar 01 12:00:00 AM","7:09 AM","Announcing a brand new look for the Forest Preserve of Cook County. Check it out: http://ping.fm/qVGib","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42602325537333248"
"2011 Mar 01 12:00:00 AM","7:10 AM","Today is the last day to register online for the Cook County General Business License. Click here to apply:http://cot.ag/eRd2H7","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42602607491039232"
"2011 Mar 01 12:00:00 AM","7:10 AM","Board of Review Opens Five Townships for Appeal http://bit.ly/eLWCgi","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42602674251759616"
"2011 Mar 01 12:00:00 AM","7:19 AM","Follow the Cook County Blog on Twitter: http://bit.ly/h6XNMt","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42604756581089281"
"2011 Mar 01 12:00:00 AM","7:19 AM","Like the Cook County Blog on Facebook: http://ping.fm/IYXSV","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42604941587656704"
"2011 Mar 01 12:00:00 AM","7:21 AM","Toni Preckwinkle talks 2011 budget on WTTW's ""Chicago Tonight"" http://bit.ly/glo5Cs","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/42605311474929664"
"2011 Mar 02 12:00:00 AM","10:06 AM","You have until March 8th to register to vote in the April 5th Cook County Consolidated Election. Click here for info: http://ping.fm/a3Pbk","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/43009251488182272"
"2011 Mar 02 12:00:00 AM","10:07 AM","Everything you need to know about the April 5th Cook County Consolidated Election: http://ping.fm/RLnKk","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/43009633375358976"
"2011 Mar 02 12:00:00 AM","10:08 AM","Everything you need to know about the April 5th Cook County Consolidated Election: http://bit.ly/fG0pj0","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/43009923088515072"
